spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0164,TASO Masaka CLINIC,existing_nbs,HF0494,Masaka REGIONAL REF HOSPITAL,RR Hospital,Government,SOUTH BUGANDA,1.107,0_to_25_km,1,weak_hub_score_1
SPOKE_0129,Mulago National Hospital- MUJHU Clinic,existing_nbs,HF0118,Kololo HOSPITAL,General Hospital,Private For Profit,KAMPALA,1.174,0_to_25_km,3,strong_hub_score_3
SPOKE_0102,Kiswa HC III,existing_nbs,HF0264,Naguru Hospital - China Uganda Friendship,RR Hospital,Government,KAMPALA,1.285,0_to_25_km,0,not_ready_score_0
SPOKE_0165,TASO Mulago CLINIC,existing_nbs,HF0118,Kololo HOSPITAL,General Hospital,Private For Profit,KAMPALA,1.386,0_to_25_km,3,strong_hub_score_3
SPOKE_0067,Charis HC III,existing_nbs,HF2222,PAG Mission HC IV,HC IV,Private Not For Profit,LANGO,1.514,0_to_25_km,1,weak_hub_score_1
SPOKE_0119,Makindye Police HC III,existing_nbs,HF0216,Kiruddu,NR Hospital,Government,KAMPALA,1.592,0_to_25_km,1,weak_hub_score_1
SPOKE_0087,Kasese Municipal Council HC III,existing_nbs,HF2886,St. Paul HC IV,HC IV,Private Not For Profit,TORO,1.678,0_to_25_km,0,not_ready_score_0
SPOKE_0130,Nabiganda HC III,existing_nbs,HF1130,Kabasa Memorial HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,1.737,0_to_25_km,0,not_ready_score_0
SPOKE_0025,Padibe West HC III,collocated_candidate_nbs,HF2190,Padibe HC IV,HC IV,Government,ACHOLI,1.783,0_to_25_km,1,weak_hub_score_1
SPOKE_0132,Nabweru HC III,existing_nbs,HF0283,Namungoona Orthodox Hospital HC III,General Hospital,Private Not For Profit,KAMPALA,2.108,0_to_25_km,0,not_ready_score_0
SPOKE_0114,Lufuka Valley HC III,existing_nbs,HF0948,Ndejje HC IV,HC IV,Government,KAMPALA,2.25,0_to_25_km,0,not_ready_score_0
SPOKE_0162,St. Matia Mulumba HC III,existing_nbs,HF0615,Kiganda HC IV,HC IV,Government,NORTH BUGANDA,2.403,0_to_25_km,1,weak_hub_score_1
SPOKE_0018,Ober HC III,collocated_candidate_nbs,HF2205,Ayira Health Services,HC IV,Private For Profit,LANGO,2.72,0_to_25_km,0,not_ready_score_0
SPOKE_0074,Hope Clinic Lukuli HC II,existing_nbs,HF0204,St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,2.959,0_to_25_km,3,strong_hub_score_3
SPOKE_0118,Magala HC III,existing_nbs,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,3.15,0_to_25_km,2,partial_hub_score_2
SPOKE_0090,Kawempe Home Care Initiative CLINIC,existing_nbs,HF0283,Namungoona Orthodox Hospital HC III,General Hospital,Private Not For Profit,KAMPALA,3.199,0_to_25_km,0,not_ready_score_0
SPOKE_0128,Mulagi HC III,existing_nbs,HF1125,Busolwe HOSPITAL,General Hospital,Government,BUKEDI,3.309,0_to_25_km,4,full_hub_score_4
SPOKE_0040,Amuca SDA HC III,existing_nbs,HF2205,Ayira Health Services,HC IV,Private For Profit,LANGO,4.519,0_to_25_km,0,not_ready_score_0
SPOKE_0157,Ssunga HC III,existing_nbs,HF0505,Kiyumba HC IV,HC IV,Government,SOUTH BUGANDA,5.852,0_to_25_km,0,not_ready_score_0
SPOKE_0142,Ngetta HC III,existing_nbs,HF2205,Ayira Health Services,HC IV,Private For Profit,LANGO,6.076,0_to_25_km,0,not_ready_score_0
SPOKE_0131,Nabisoigi HC III,existing_nbs,HF1583,Nsinze HC IV,HC IV,Government,BUSOGA,6.104,0_to_25_km,1,weak_hub_score_1
SPOKE_0034,Akide HC II,existing_nbs,HF1431,Kumi NGO HOSPITAL,General Hospital,Private Not For Profit,TESO,6.188,0_to_25_km,3,strong_hub_score_3
SPOKE_0077,Kadama HC III,existing_nbs,HF0998,Budaka HC IV,HC IV,Government,BUKEDI,7.322,0_to_25_km,2,partial_hub_score_2
SPOKE_0082,Kamaca HC III,existing_nbs,HF1065,Bukedea HC IV,HC IV,Government,TESO,8.408,0_to_25_km,0,not_ready_score_0
